Timestamp,Latitude,Longitude,AirTemp (°C),SeaTemp (°C),WindSpeed (km/h),WindDir (°),WaveHeight (m),SwellPeriod (s),Humidity (%),Pressure (hPa),Precipitation (mm),AirTemp_Lag24h
2025-02-23 00:00:00,36.50,-122.00,15.0,14.0,10,180,1.2,8.0,80,1010,0.0,14.5
2025-02-23 00:20:00,36.51,-122.01,15.2,14.1,12,190,1.3,8.2,82,1008,0.1,14.7
2025-02-23 00:40:00,36.52,-122.02,15.1,14.0,11,185,1.1,8.0,81,1009,0.0,14.6
2025-02-23 01:00:00,36.53,-122.03,15.3,14.2,13,200,1.4,8.5,83,1007,0.2,14.8
2025-02-23 01:20:00,36.54,-122.04,15.0,14.0,9,175,1.0,7.8,79,1011,0.0,14.5
2025-02-23 01:40:00,36.55,-122.05,15.4,14.3,14,210,1.5,8.7,84,1006,0.3,14.9
2025-02-23 02:00:00,36.56,-122.06,15.2,14.1,10,195,1.2,8.0,80,1010,0.0,14.6
2025-02-23 02:20:00,36.57,-122.07,15.3,14.2,12,205,1.3,8.3,82,1008,0.1,14.7
2025-02-23 02:40:00,36.58,-122.08,15.1,14.0,11,190,1.1,8.0,81,1009,0.0,14.6
2025-02-23 03:00:00,36.59,-122.09,15.5,14.3,15,215,1.6,8.8,85,1005,0.4,15.0
2025-02-23 03:20:00,36.60,-122.10,15.4,14.2,13,205,1.4,8.6,83,1007,0.2,14.9
2025-02-23 03:40:00,36.61,-122.11,15.6,14.4,16,220,1.7,9.0,86,1004,0.5,15.1
